Redshift,Metallicity,Mass
0,5.732236209821023,5.732236209821023
0,5.944451822424542,5.944451822424542
0,463900062926022.0,463900062926022.0
0,7.417437670941506,7.417437670941506
0,7.536631773761349,7.536631773761349
0,7.612449530399777,7.612449530399777
0,8.552916006889259,8.552916006889259
0,8.446592568635413,8.446592568635413
0,8.83936800844711,8.83936800844711
0,9.650501711008378,9.650501711008378
0,10.174923417349447,10.174923417349447
0,9.80456344899926,9.80456344899926
0,10.640466443865007,10.640466443865007
1,7.4624721865397055,5.914920874890904
1,7.728081382223848,6.42669840488378
1,7.39908643559986,7.011789163578599
1,7.597355303364859,7.477545400817021
1,7.754495294053686,7.339226451192587
1,7.969082738522885,7.339226451192587
1,7.747883364333574,7.477545400817021
1,8.02365110151417,8.007394350482551
1,8.016809674036278,7.826732623497911
1,7.941937883720869,8.175248495057716
1,8.154753215150043,8.175248495057716
1,8.106205052395525,8.329323559000095
1,8.22461253640144,8.09088614510896
1,8.273869843048532,8.381324516637095
1,8.252723548647088,8.433650122437422
1,8.337634386101605,8.610439607878796
1,8.430607278171198,8.790935023932521
1,8.47386681656394,8.809191368605367
1,8.495579755494392,8.736392685324617
1,8.561052958645538,9.531759497718994
1,8.330525238374715,9.671189596167467
1,8.147800002452268,9.531759497718994
1,8.835564367791198,9.297397127899965
1,8.934089672967678,8.975214055771275
1,9.064590082619503,9.472620799430548
1,9.041422871368711,10.270891893462329
2,7.409447747029659,5.807350449677521
2,7.823474021416112,6.2315467682826595
2,7.599796786444932,6.803039163224746
2,7.683978428146436,7.106911017279848
2,7.802538690020461,7.106168288124999
2,7.822364925829585,7.210490671923489
2,7.849106152887684,7.135565194283377
2,7.909396372048876,7.165000505187001
2,7.90955656736595,7.017194538676675
2,7.956827200623948,6.987717250251798
2,8.01111104476598,7.031224469772595
2,7.929510193113506,7.255047924759732
2,7.788928436303535,7.4397182823179975
2,7.432519020507999,7.856556237882417
2,8.079351936292165,7.2088999279406885
2,8.07920466531934,7.345416641867537
2,8.079221028628197,7.330121337982069
2,8.051777358351835,7.330291583615599
2,8.051614282581916,7.484692438023597
2,8.031093139282916,7.484822814361978
2,8.024199379678613,7.579197701380149
2,8.003715687856504,7.674272379254724
2,8.0172628,7.4532945965282416
2,23903925.0,7.562449517904272
2,8.05141859601775,7.56231778940491
2,8.092846792540731,7.60957934308619
2,8.15492663819914,7.530463140536694
2,8.17576420230567,7.530463140536694
2,8.203580623476526,7.468239813434249
2,8.2386302778088,7.641724291484299
2,8.189785006473064,7.737673167031918
2,8.147910079473235,7.70561674623249
2,8.182539581943097,7.689794643667249
2,8.1617178101867,7.83555466495209
2,8.127094126141754,7.901618266610906
2,8.10623284376867,8.01775794459652
2,8.037504441594516,8.324398449672318
2,8.037390490561828,8.53475175511403
2,8.023435577352526,8.341138819947373
2,8.09178145270513,8.322851905688651
2,8.112638406564276,8.218835385047425
2,8.175068759763219,8.133620922936386
